Source,Target,buyercod,sellercod,desig2,desc,nrdel,buyer,seller,tivunit,tivorder,tivdel,longSource,latSource,longDest,latDest
56,68,TOG,FRA,M-101A1 105mm,Towed gun,4,Togo,France,0.18,0.72,0.72,2.213749,46.227638,0.824782,8.619543
56,68,TOG,FRA,SA-313B Alouette-2,Light helicopter,1,Togo,France,0.7,0.7,0.7,2.213749,46.227638,0.824782,8.619543
56,45,TUN,FRA,AML-60/90,Armoured car,18,Tunisia,France,0.35,6.3,6.3,2.213749,46.227638,9.537499,33.886917
56,45,TUN,FRA,AMX-13/75,Light tank,15,Tunisia,France,0.9,13.5,13.5,2.213749,46.227638,9.537499,33.886917
56,45,TUN,FRA,P-48,Patrol craft,2,Tunisia,France,11.0,22.0,22.0,2.213749,46.227638,9.537499,33.886917
56,45,TUN,FRA,SS-12M,Anti-ship missile,30,Tunisia,France,0.08,2.4,2.4,2.213749,46.227638,9.537499,33.886917
56,49,TUR,FRA,EDIC,Landing craft,12,Turkey,France,14.0,168.0,168.0,2.213749,46.227638,35.243322,38.963745
56,92,UK,FRA,SA-330 Puma,Helicopter,40,United Kingdom,France,6.0,240.0,240.0,2.213749,46.227638,-3.435973,55.378051
56,78,USA,FRA,Marbore,Turbojet,2500,United States,France,0.2,500.0,500.0,2.213749,46.227638,-95.712891,37.09024
56,78,USA,FRA,SS-11,Anti-tank missile,50000,United States,France,0.01,500.0,500.0,2.213749,46.227638,-95.712891,37.09024
56,59,XXR,FRA,ENTAC,Anti-tank missile,15000,Unknown recipient(s),France,0.01,150.0,150.0,2.213749,46.227638,65.865034,-25.559085
23,9,ARG,FRG,COBRA,Anti-tank missile,500,Argentina,Germany,0.01,5.0,5.0,10.451526,51.165691,-63.616672,-38.416097
23,22,BEL,FRG,BPz-2,ARV,36,Belgium,Germany,1.4,50.4,50.4,10.451526,51.165691,4.469936,50.503887
23,22,BEL,FRG,Leopard-1A1,Tank,346,Belgium,Germany,2.1,726.6,726.6,10.451526,51.165691,4.469936,50.503887
23,22,BEL,FRG,PiPz-1,AEV,6,Belgium,Germany,1.75,10.5,10.5,10.451526,51.165691,4.469936,50.503887
23,69,CHI,FRG,Type-6150L,Diesel engine,1200,China,Germany,0.03,36.0,36.0,10.451526,51.165691,104.195397,35.86166
23,70,DEN,FRG,Type-205,Submarine,2,Denmark,Germany,40.0,80.0,80.0,10.451526,51.165691,9.501785,56.26392
23,7,ETH,FRG,UR-416,APC,10,Ethiopia,Germany,0.15,1.5,1.5,10.451526,51.165691,40.489673,9.145
