buyercod,sellercod,desig2,desc,nrdel,buyer,seller,tivunit,tivorder,tivdel,longSource,latSource,longDest,latDest
AUS,UK,Vampire FB-5,Fighter aircraft,70,Australia,United Kingdom,3.2,224,224,-3.435973,55.378051,133.775136,-25.274398
BEL,UK,Dove,Light transport ac,2,Belgium,United Kingdom,0.6,1.2,1.2,-3.435973,55.378051,4.469936,50.503887
BEL,UK,Kamina,Transport ship,1,Belgium,United Kingdom,9,9,9,-3.435973,55.378051,4.469936,50.503887
BEL,UK,Meteor,Fighter aircraft,38,Belgium,United Kingdom,3,114,114,-3.435973,55.378051,4.469936,50.503887
BEL,UK,Meteor,Fighter aircraft,175,Belgium,United Kingdom,3,525,525,-3.435973,55.378051,4.469936,50.503887
BEL,UK,Meteor,Fighter aircraft,23,Belgium,United Kingdom,3,69,69,-3.435973,55.378051,4.469936,50.503887
CAN,UK,Nene,Turbojet,384,Canada,United Kingdom,0.5,192,192,-3.435973,55.378051,-106.346771,56.130366
DEN,UK,DHC-1 Chipmunk,Trainer aircraft,10,Denmark,United Kingdom,0.12,3.24,1.2,-3.435973,55.378051,9.501785,56.26392
DEN,UK,Meteor,Fighter aircraft,20,Denmark,United Kingdom,3,60,60,-3.435973,55.378051,9.501785,56.26392
DEN,UK,Meteor,Fighter aircraft,6,Denmark,United Kingdom,3,18,18,-3.435973,55.378051,9.501785,56.26392
EGY,UK,Hunt,Frigate,1,Egypt,United Kingdom,36.3066,36.3066,36.3066,-3.435973,55.378051,30.802498,26.820553
EGY,UK,Meteor,Fighter aircraft,16,Egypt,United Kingdom,3,48,48,-3.435973,55.378051,30.802498,26.820553
EGY,UK,Sea Fury,Fighter aircraft,12,Egypt,United Kingdom,2,24,24,-3.435973,55.378051,30.802498,26.820553
EGY,UK,Spitfire,Fighter aircraft,20,Egypt,United Kingdom,1.32,26.4,26.4,-3.435973,55.378051,30.802498,26.820553
GRE,UK,M-3 Stuart,Light tank,40,Greece,United Kingdom,0.12,4.8,4.8,-3.435973,55.378051,21.824312,39.074208
IND,UK,Dove,Light transport ac,20,India,United Kingdom,0.6,12,12,-3.435973,55.378051,78.96288,20.593684
IND,UK,EWP,Destroyer,3,India,United Kingdom,36.8,110.4,110.4,-3.435973,55.378051,78.96288,20.593684
IND,UK,FV-1611,APV,120,India,United Kingdom,0.04,4.8,4.8,-3.435973,55.378051,78.96288,20.593684
IND,UK,Vampire FB-5,Fighter aircraft,333,India,United Kingdom,3.2,1065.6,1065.6,-3.435973,55.378051,78.96288,20.593684
IND,UK,Vampire T-55,Trainer aircraft,62,India,United Kingdom,2.25,139.5,139.5,-3.435973,55.378051,78.96288,20.593684
IRE,UK,Dove,Light transport ac,2,Ireland,United Kingdom,0.6,1.2,1.2,-3.435973,55.378051,-8.24389,53.41291
ISR,UK,Cromwell,Tank,25,Israel,United Kingdom,0.336,8.4,8.4,-3.435973,55.378051,34.851612,31.046051
ISR,UK,Flower,Corvette,2,Israel,United Kingdom,8,16,16,-3.435973,55.378051,34.851612,31.046051
ISR,UK,M-3/M-5 Half-track,APC,100,Israel,United Kingdom,0.06,6,6,-3.435973,55.378051,34.851612,31.046051
ISR,UK,Mosquito FB-6,Bomber aircraft,1,Israel,United Kingdom,2,2,2,-3.435973,55.378051,34.851612,31.046051
ITA,UK,Vampire FB-5,Fighter aircraft,85,Italy,United Kingdom,3.2,272,272,-3.435973,55.378051,12.56738,41.87194
JOR,UK,Auster AOP,Light aircraft,3,Jordan,United Kingdom,0.028,0.084,0.084,-3.435973,55.378051,36.238414,30.585164
JOR,UK,Auster AOP,Light aircraft,2,Jordan,United Kingdom,0.028,0.056,0.056,-3.435973,55.378051,36.238414,30.585164
JOR,UK,Autocrat,Light aircraft,3,Jordan,United Kingdom,0.12,0.36,0.36,-3.435973,55.378051,36.238414,30.585164
MYA,UK,Consul,Light transport ac,5,Myanmar,United Kingdom,0.63,3.15,3.15,-3.435973,55.378051,65.865034,-25.559085
MYA,UK,Oxford,Trainer aircraft,5,Myanmar,United Kingdom,0.16,0.8,0.8,-3.435973,55.378051,65.865034,-25.559085
NET,UK,AMES Type-13,Height-finding radar,2,Netherlands,United Kingdom,3,6,6,-3.435973,55.378051,5.291266,52.132633
NET,UK,AMES Type-14,Air search radar,2,Netherlands,United Kingdom,4.5,9,9,-3.435973,55.378051,5.291266,52.132633
NET,UK,AMES Type-15,Air search radar,2,Netherlands,United Kingdom,3,6,6,-3.435973,55.378051,5.291266,52.132633
NET,UK,Meteor,Fighter aircraft,190,Netherlands,United Kingdom,3,570,570,-3.435973,55.378051,5.291266,52.132633
NOR,UK,Type-VIIC,Submarine,3,Norway,United Kingdom,8,24,24,-3.435973,55.378051,8.468946,60.472024
NOR,UK,Type-XXIII,Submarine,1,Norway,United Kingdom,14,14,14,-3.435973,55.378051,8.468946,60.472024
NOR,UK,Vampire FB-5,Fighter aircraft,36,Norway,United Kingdom,3.2,115.2,115.2,-3.435973,55.378051,8.468946,60.472024
NZ,UK,Auster AOP,Light aircraft,6,New Zealand,United Kingdom,0.07,0.42,0.42,-3.435973,55.378051,174.885971,-40.900557
NZ,UK,Bristol-170 Freighter,Transport aircraft,9,New Zealand,United Kingdom,4.38,39.42,39.42,-3.435973,55.378051,174.885971,-40.900557
NZ,UK,Centurion-3,Tank,3,New Zealand,United Kingdom,1.35,4.05,4.05,-3.435973,55.378051,174.885971,-40.900557
PAK,UK,Bristol-170 Freighter,Transport aircraft,75,Pakistan,United Kingdom,4.38,328.5,328.5,-3.435973,55.378051,69.345116,30.375321
PAK,UK,Sea Fury,Fighter aircraft,90,Pakistan,United Kingdom,2,180,180,-3.435973,55.378051,69.345116,30.375321
SA,UK,EWP,Destroyer,2,South Africa,United Kingdom,36.8,73.6,73.6,-3.435973,55.378051,22.937506,-30.559482
SAU,UK,Anson,Trainer aircraft,2,Saudi Arabia,United Kingdom,0.16,0.32,0.32,-3.435973,55.378051,45.079162,23.885942
SAU,UK,DH-82 Tiger Moth,Trainer aircraft,2,Saudi Arabia,United Kingdom,0.04,0.08,0.08,-3.435973,55.378051,45.079162,23.885942
SRI,UK,ML 4.2inch,Mortar,5,Sri Lanka,United Kingdom,0.016,0.08,0.08,-3.435973,55.378051,80.771797,7.873054
SRI,UK,Oxford,Trainer aircraft,2,Sri Lanka,United Kingdom,0.16,0.32,0.32,-3.435973,55.378051,80.771797,7.873054
SWE,UK,Firefly TT-1,Target tow aircraft,2,Sweden,United Kingdom,0.792,1.584,1.584,-3.435973,55.378051,18.643501,60.128161
SWE,UK,Ghost,Turbojet,661,Sweden,United Kingdom,0.75,495.75,495.75,-3.435973,55.378051,18.643501,60.128161
SWE,UK,Vampire FB-5,Fighter aircraft,150,Sweden,United Kingdom,3.2,480,480,-3.435973,55.378051,18.643501,60.128161
SWI,UK,Vampire FB-5,Fighter aircraft,143,Switzerland,United Kingdom,3.2,457.6,457.6,-3.435973,55.378051,8.227512,46.818188
SYR,UK,Merlin,Aircraft engine,30,Syria,United Kingdom,0.4,12,12,-3.435973,55.378051,38.996815,34.802075
THA,UK,Firefly,FGA aircraft,12,Thailand,United Kingdom,0.8,9.6,9.6,-3.435973,55.378051,100.992541,15.870032
THA,UK,Spitfire,Fighter aircraft,30,Thailand,United Kingdom,0.8,24,24,-3.435973,55.378051,100.992541,15.870032
USA,UK,Nene,Turbojet,600,United States,United Kingdom,0.5,300,300,-3.435973,55.378051,-95.712891,37.09024
USA,UK,RB-44 Tay,Turbojet,4108,United States,United Kingdom,1,4108,4108,-3.435973,55.378051,-95.712891,37.09024
VEN,UK,Vampire FB-5,Fighter aircraft,19,Venezuela,United Kingdom,3.2,60.8,60.8,-3.435973,55.378051,-66.58973,6.42375
ZIM,UK,T-17E1 Staghound,Armoured car,10,Zimbabwe,United Kingdom,0.096,0.96,0.96,-3.435973,55.378051,29.154857,-19.015438
ARG,USA,LST-1,Landing ship,14,Argentina,United States,9.448,132.272,132.272,-95.712891,37.09024,-63.616672,-38.416097
ARG,USA,M-3/M-5 Half-track,APC,100,Argentina,United States,0.06,6,6,-95.712891,37.09024,-63.616672,-38.416097
ARG,USA,M-7 105mm,Self-propelled gun,6,Argentina,United States,0.3,1.8,1.8,-95.712891,37.09024,-63.616672,-38.416097
ARG,USA,Twin Wasp,Radial engine,50,Argentina,United States,0.3,15,15,-95.712891,37.09024,-63.616672,-38.416097
BEL,USA,DC-3/C-47 Skytrain,Transport aircraft,7,Belgium,United States,1,7,7,-95.712891,37.09024,4.469936,50.503887
BEL,USA,DC-4/C-54,Transport aircraft,2,Belgium,United States,2.5,5,5,-95.712891,37.09024,4.469936,50.503887
BEL,USA,M-10,Tank,36,Belgium,United States,0.32,11.52,11.52,-95.712891,37.09024,4.469936,50.503887
BEL,USA,M-3/M-5 Half-track,APC,50,Belgium,United States,0.06,3,3,-95.712891,37.09024,4.469936,50.503887
BEL,USA,M-4 Sherman,Tank,50,Belgium,United States,0.336,16.8,16.8,-95.712891,37.09024,4.469936,50.503887
CAN,USA,F-86F Sabre,Fighter aircraft,1100,Canada,United States,3.5,3850,3850,-95.712891,37.09024,-106.346771,56.130366
CAN,USA,T-33A Shooting Star,Trainer aircraft,30,Canada,United States,2.5,75,75,-95.712891,37.09024,-106.346771,56.130366
CAN,USA,T-33A T-Bird,Trainer aircraft,384,Canada,United States,1.15,441.6,441.6,-95.712891,37.09024,-106.346771,56.130366
CAN,USA,TBM-3S Avenger,ASW aircraft,69,Canada,United States,0.92,63.48,63.48,-95.712891,37.09024,-106.346771,56.130366
CHE,USA,T-6 Texan,Trainer aircraft,10,Chile,United States,0.128,1.28,1.28,-95.712891,37.09024,-71.542969,-35.675147
COL,USA,P-47D Thunderbolt,FGA aircraft,4,Colombia,United States,0.84,3.36,3.36,-95.712891,37.09024,-74.297333,4.570868
DEN,USA,M-101A1 105mm,Towed gun,186,Denmark,United States,0.18,33.48,33.48,-95.712891,37.09024,9.501785,56.26392
DOM,USA,M-3A1 Scout Car,APV,20,Dominican Republic,United States,0.044,0.88,0.88,-95.712891,37.09024,-70.162651,18.735693
DOM,USA,M-3/M-5 Half-track,APC,25,Dominican Republic,United States,0.06,1.5,1.5,-95.712891,37.09024,-70.162651,18.735693
EGY,USA,LST-1,Landing ship,1,Egypt,United States,9.448,9.448,9.448,-95.712891,37.09024,30.802498,26.820553
EGY,USA,YMS,Minesweeper,4,Egypt,United States,3.6,14.4,14.4,-95.712891,37.09024,30.802498,26.820553
FRA,USA,Bell-47/OH-13,Light helicopter,8,France,United States,0.24,1.92,1.92,-95.712891,37.09024,2.213749,46.227638
FRA,USA,Cannon,Frigate,8,France,United States,13.54,108.32,108.32,-95.712891,37.09024,2.213749,46.227638
FRA,USA,F6F Hellcat,Fighter aircraft,40,France,United States,0.8,32,32,-95.712891,37.09024,2.213749,46.227638
FRA,USA,Hiller-12/OH-23 Raven,Light helicopter,2,France,United States,0.24,0.48,0.48,-95.712891,37.09024,2.213749,46.227638
FRA,USA,LST-1,Landing ship,6,France,United States,9.448,56.688,56.688,-95.712891,37.09024,2.213749,46.227638
FRA,USA,PB4Y-2 Privateer,Bomber/MP aircraft,22,France,United States,3,66,66,-95.712891,37.09024,2.213749,46.227638
GRE,USA,DC-3/C-47 Skytrain,Transport aircraft,1,Greece,United States,1,1,1,-95.712891,37.09024,21.824312,39.074208
GRE,USA,M-101A1 105mm,Towed gun,317,Greece,United States,0.18,57.06,57.06,-95.712891,37.09024,21.824312,39.074208
GRE,USA,M-114 155mm,Towed gun,270,Greece,United States,0.2,54,54,-95.712891,37.09024,21.824312,39.074208
GRE,USA,M-20,Reconnaissance AV,20,Greece,United States,0.06,1.2,1.2,-95.712891,37.09024,21.824312,39.074208
GRE,USA,M-24 Chaffee,Light tank,206,Greece,United States,0.3,61.8,61.8,-95.712891,37.09024,21.824312,39.074208
GRE,USA,M-8 Greyhound,Armoured car,20,Greece,United States,0.076,1.52,1.52,-95.712891,37.09024,21.824312,39.074208
GRE,USA,SB-2C Helldiver,Bomber aircraft,24,Greece,United States,0.76,18.24,18.24,-95.712891,37.09024,21.824312,39.074208
HAI,USA,DC-3/C-47 Skytrain,Transport aircraft,3,Haiti,United States,1,3,3,-95.712891,37.09024,-72.285215,18.971187
HAI,USA,M-5 Stuart,Light tank,9,Haiti,United States,0.12,1.08,1.08,-95.712891,37.09024,-72.285215,18.971187
INS,USA,Hiller-12/OH-23 Raven,Light helicopter,10,Indonesia,United States,0.24,2.4,2.4,-95.712891,37.09024,113.921327,-0.789275
IRA,USA,Beech-18/C-45,Light transport ac,6,Iran,United States,0.16,0.96,0.96,-95.712891,37.09024,53.688046,32.427908
IRA,USA,Cub/L-4 Grasshopper,Light aircraft,10,Iran,United States,0.02,0.2,0.2,-95.712891,37.09024,53.688046,32.427908
IRA,USA,T-6 Texan,Trainer aircraft,74,Iran,United States,0.128,9.472,9.472,-95.712891,37.09024,53.688046,32.427908
ISR,USA,PT-17 Kaydet,Trainer aircraft,51,Israel,United States,0.036,1.836,1.836,-95.712891,37.09024,34.851612,31.046051
ISR,USA,T-6 Texan,Trainer aircraft,11,Israel,United States,0.128,1.408,1.408,-95.712891,37.09024,34.851612,31.046051
ITA,USA,M-4 Sherman,Tank,50,Italy,United States,0.336,16.8,16.8,-95.712891,37.09024,12.56738,41.87194
ITA,USA,P-47D Thunderbolt,FGA aircraft,75,Italy,United States,0.84,63,63,-95.712891,37.09024,12.56738,41.87194
ITA,USA,P-51D Mustang,Fighter aircraft,100,Italy,United States,0.8,80,80,-95.712891,37.09024,12.56738,41.87194
ITA,USA,SB-2C Helldiver,Bomber aircraft,36,Italy,United States,0.76,27.36,27.36,-95.712891,37.09024,12.56738,41.87194
KOS,USA,DC-3/C-47 Skytrain,Transport aircraft,15,South Korea,United States,1,15,15,-95.712891,37.09024,127.766922,35.907757
KOS,USA,M-10,Tank,70,South Korea,United States,0.32,22.4,22.4,-95.712891,37.09024,127.766922,35.907757
KOS,USA,M-101A1 105mm,Towed gun,2000,South Korea,United States,0.45,900,900,-95.712891,37.09024,127.766922,35.907757
KOS,USA,M-4 Sherman,Tank,100,South Korea,United States,0.336,33.6,33.6,-95.712891,37.09024,127.766922,35.907757
KOS,USA,M-8 Greyhound,Armoured car,200,South Korea,United States,0.076,15.2,15.2,-95.712891,37.09024,127.766922,35.907757
KOS,USA,P-51D Mustang,Fighter aircraft,125,South Korea,United States,0.8,100,100,-95.712891,37.09024,127.766922,35.907757
KOS,USA,PC-461,Patrol craft,4,South Korea,United States,5,20,20,-95.712891,37.09024,127.766922,35.907757
KOS,USA,PC-461,Patrol craft,1,South Korea,United States,5,5,5,-95.712891,37.09024,127.766922,35.907757
KOS,USA,Tacoma,Frigate,4,South Korea,United States,11.5,46,46,-95.712891,37.09024,127.766922,35.907757
KOS,USA,YMS,Minesweeper,6,South Korea,United States,3.6,21.6,21.6,-95.712891,37.09024,127.766922,35.907757
NET,USA,Cannon,Frigate,6,Netherlands,United States,13.54,81.24,81.24,-95.712891,37.09024,5.291266,52.132633
NET,USA,M-115 203mm,Towed gun,40,Netherlands,United States,0.3,12,12,-95.712891,37.09024,5.291266,52.132633
NOR,USA,DC-3/C-47 Skytrain,Transport aircraft,10,Norway,United States,1,10,10,-95.712891,37.09024,8.468946,60.472024
NOR,USA,M-24 Chaffee,Light tank,100,Norway,United States,0.3,30,30,-95.712891,37.09024,8.468946,60.472024
PAK,USA,M-32,ARV,10,Pakistan,United States,0.2,2,2,-95.712891,37.09024,69.345116,30.375321
PAK,USA,M-4 Sherman,Tank,100,Pakistan,United States,0.336,33.6,33.6,-95.712891,37.09024,69.345116,30.375321
PAR,USA,DC-3/C-47 Skytrain,Transport aircraft,5,Paraguay,United States,1,5,5,-95.712891,37.09024,-58.443832,-23.442503
POR,USA,B-17G Fortress,Bomber aircraft,5,Portugal,United States,1.96,9.8,9.8,-95.712891,37.09024,-8.224454,39.399872
SAL,USA,T-6 Texan,Trainer aircraft,4,El Salvador,United States,0.128,0.512,0.512,-95.712891,37.09024,-88.89653,13.794185
SPA,USA,Mk-30 127mm,Naval gun,2,Spain,United States,0.3,0.6,0.6,-95.712891,37.09024,-3.74922,40.463667
SYR,USA,Beech-18/C-45,Light transport ac,6,Syria,United States,0.4,2.4,2.4,-95.712891,37.09024,38.996815,34.802075
THA,USA,DC-4/C-54,Transport aircraft,8,Thailand,United States,2.5,20,20,-95.712891,37.09024,100.992541,15.870032
THA,USA,PC-461,Patrol craft,4,Thailand,United States,5,20,20,-95.712891,37.09024,100.992541,15.870032
THA,USA,T-6 Texan,Trainer aircraft,63,Thailand,United States,0.128,8.064,8.064,-95.712891,37.09024,100.992541,15.870032
THA,USA,YMS,Minesweeper,2,Thailand,United States,3.6,7.2,7.2,-95.712891,37.09024,100.992541,15.870032
TUR,USA,Balao,Submarine,2,Turkey,United States,25.4958,50.9916,50.9916,-95.712891,37.09024,35.243322,38.963745
TUR,USA,M-101A1 105mm,Towed gun,600,Turkey,United States,0.18,108,108,-95.712891,37.09024,35.243322,38.963745
TUR,USA,M-114 155mm,Towed gun,517,Turkey,United States,0.2,103.4,103.4,-95.712891,37.09024,35.243322,38.963745
TUR,USA,M-24 Chaffee,Light tank,50,Turkey,United States,0.3,15,15,-95.712891,37.09024,35.243322,38.963745
TUR,USA,Penguin/ASR,Rescue ship,1,Turkey,United States,30,30,30,-95.712891,37.09024,35.243322,38.963745
UK,USA,B-29 Superfortress,Bomber aircraft,87,United Kingdom,United States,3.6,313.2,313.2,-95.712891,37.09024,-3.435973,55.378051
UK,USA,S-51/H-5F,Light helicopter,100,United Kingdom,United States,0.3,30,30,-95.712891,37.09024,-3.435973,55.378051
URU,USA,B-25 Mitchell,Bomber aircraft,11,Uruguay,United States,2,22,22,-95.712891,37.09024,-55.765835,-32.522779
URU,USA,C-46 Commando,Transport aircraft,10,Uruguay,United States,1.8,18,18,-95.712891,37.09024,-55.765835,-32.522779
URU,USA,DC-3/C-47 Skytrain,Transport aircraft,5,Uruguay,United States,1,5,5,-95.712891,37.09024,-55.765835,-32.522779
URU,USA,P-51D Mustang,Fighter aircraft,25,Uruguay,United States,0.8,20,20,-95.712891,37.09024,-55.765835,-32.522779
URU,USA,TBF Avenger,Bomber aircraft,12,Uruguay,United States,0.84,10.08,10.08,-95.712891,37.09024,-55.765835,-32.522779
YEN,USA,AT-17 Bobcat,Trainer aircraft,3,Yemen,United States,0.12,0.36,0.36,-95.712891,37.09024,48.516388,15.552727
ALB,USR,PT,FAC,5,Albania,Russia,2.8,14,14,105.318756,61.52401,20.168331,41.153332
BUL,USR,BTR-152,APC,100,Bulgaria,Russia,0.13,13,13,105.318756,61.52401,25.48583,42.733883
BUL,USR,M-1943 160mm,Mortar,50,Bulgaria,Russia,0.15,7.5,7.5,105.318756,61.52401,25.48583,42.733883
BUL,USR,M-43 120mm,Mortar,350,Bulgaria,Russia,0.05,17.5,17.5,105.318756,61.52401,25.48583,42.733883
BUL,USR,T-34-85,Tank,599,Bulgaria,Russia,0.38,227.62,227.62,105.318756,61.52401,25.48583,42.733883
BUL,USR,Yak-23,Fighter aircraft,50,Bulgaria,Russia,2.1,105,105,105.318756,61.52401,25.48583,42.733883
CHI,USR,BM-13 132mm,Self-propelled MRL,600,China,Russia,0.096,57.6,57.6,105.318756,61.52401,104.195397,35.86166
CHI,USR,Il-10 Sturmovik,Ground attack ac,150,China,Russia,1.8,270,270,105.318756,61.52401,104.195397,35.86166
CHI,USR,IS-2,Tank,300,China,Russia,0.5,150,150,105.318756,61.52401,104.195397,35.86166
CHI,USR,La-11,Fighter aircraft,200,China,Russia,2,400,400,105.318756,61.52401,104.195397,35.86166
CHI,USR,La-9,Fighter aircraft,250,China,Russia,0.76,190,190,105.318756,61.52401,104.195397,35.86166
CHI,USR,Li-2T/Cab,Transport aircraft,50,China,Russia,2.5,125,125,105.318756,61.52401,104.195397,35.86166
CHI,USR,M-30 122mm,Towed gun,3000,China,Russia,0.45,1350,1350,105.318756,61.52401,104.195397,35.86166
CHI,USR,MiG-15,Fighter aircraft,750,China,Russia,3.2,2400,2400,105.318756,61.52401,104.195397,35.86166
CHI,USR,MiG-9,Fighter aircraft,372,China,Russia,1.144,425.568,425.568,105.318756,61.52401,104.195397,35.86166
CHI,USR,SU-100,Self-propelled gun,300,China,Russia,1,300,300,105.318756,61.52401,104.195397,35.86166
CHI,USR,SU-85,Self-propelled gun,300,China,Russia,0.28,84,84,105.318756,61.52401,104.195397,35.86166
CHI,USR,T-34-85,Tank,2500,China,Russia,0.95,2375,2375,105.318756,61.52401,104.195397,35.86166
CHI,USR,Tu-2S,Bomber aircraft,150,China,Russia,2,300,300,105.318756,61.52401,104.195397,35.86166
CHI,USR,Yak-11,Trainer aircraft,50,China,Russia,0.32,16,16,105.318756,61.52401,104.195397,35.86166
CHI,USR,Yak-17,Fighter aircraft,43,China,Russia,0.6,25.8,25.8,105.318756,61.52401,104.195397,35.86166
CHI,USR,Yak-17UTI,Trainer aircraft,10,China,Russia,1.5,15,15,105.318756,61.52401,104.195397,35.86166
CHI,USR,Yak-18,Trainer aircraft,450,China,Russia,0.1,45,45,105.318756,61.52401,104.195397,35.86166
CZE,USR,Il-10 Sturmovik,Ground attack ac,600,Czechoslovakia,Russia,1.8,1234.8,1080,105.318756,61.52401,65.865034,-25.559085
CZE,USR,Yak-11,Trainer aircraft,40,Czechoslovakia,Russia,0.32,12.8,12.8,105.318756,61.52401,65.865034,-25.559085
GDR,USR,Hvidbjornen,OPV,1,Germany,Russia,6,6,6,105.318756,61.52401,10.451526,51.165691
GDR,USR,Po-2,Trainer aircraft,30,Germany,Russia,0.012,0.36,0.36,105.318756,61.52401,10.451526,51.165691
GDR,USR,R-Boot,Minesweeper,6,Germany,Russia,3.2,19.2,19.2,105.318756,61.52401,10.451526,51.165691
GDR,USR,Yak-18,Trainer aircraft,30,Germany,Russia,0.1,3,3,105.318756,61.52401,10.451526,51.165691
HUN,USR,BTR-152,APC,160,Hungary,Russia,0.13,20.8,20.8,105.318756,61.52401,19.503304,47.162494
HUN,USR,Il-10 Sturmovik,Ground attack ac,150,Hungary,Russia,1.8,270,270,105.318756,61.52401,19.503304,47.162494
HUN,USR,Li-2T/Cab,Transport aircraft,11,Hungary,Russia,2.5,27.5,27.5,105.318756,61.52401,19.503304,47.162494
HUN,USR,SU-100,Self-propelled gun,50,Hungary,Russia,1,50,50,105.318756,61.52401,19.503304,47.162494
HUN,USR,Yak-18,Trainer aircraft,40,Hungary,Russia,0.1,4,4,105.318756,61.52401,19.503304,47.162494
